ORDERNUMBER,QUANTITYORDERED,PRICE,SALES,ORDERDATE,STATUS,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,STATE,POSTALCODE,COUNTRY,CONTACTFIRSTNAME,CONTACTLASTNAME,DEALSIZE
10339,40,68.92,2756.8,11/23/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan,Akiko,Shimamura,Small
10361,26,51.15,1329.9,12/17/2004 0:00,Shipped,2004,Motorcycles,80,S10_2016,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,Adrian,Huxley,Small
10374,39,100,5288.01,02-02-05 0:00,Shipped,2005,Motorcycles,80,S10_2016,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia,Tony,Calaghan,Medium
10388,50,44.51,2225.5,03-03-05 0:00,Shipped,2005,Motorcycles,80,S10_2016,FunGiftIdeas.com,New Bedford,MA,50553,USA,Violeta,Benitez,Small
10402,45,100,5833.8,04-07-05 0:00,Shipped,2005,Motorcycles,80,S10_2016,Auto Canal Petit,Paris,,75016,France,Dominique,Perrier,Medium
10417,45,100,5887.35,5/13/2005 0:00,Disputed,2005,Motorcycles,80,S10_2016,Euro Shopping Channel,Madrid,,28034,Spain,Diego,Freyre,Medium
10107,27,100,6065.55,2/24/2003 0:00,Shipped,2003,Motorcycles,80,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Medium
10120,46,100,9264.86,4/29/2003 0:00,Shipped,2003,Motorcycles,80,S10_4698,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Large
10134,31,100,7023.98,07-01-03 0:00,Shipped,2003,Motorcycles,80,S10_4698,Lyon Souveniers,Paris,,75508,France,Daniel,Da Cunha,Large
10145,33,100,5176.38,8/25/2003 0:00,Shipped,2003,Motorcycles,80,S10_4698,Toys4GrownUps.com,Pasadena,CA,90003,USA,Julie,Young,Medium
10159,22,100,4132.7,10-10-03 0:00,Shipped,2003,Motorcycles,80,S10_4698,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Medium
10168,20,100,4183,10/28/2003 0:00,Shipped,2003,Motorcycles,80,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Medium
10180,41,100,8892.9,11-11-03 0:00,Shipped,2003,Motorcycles,80,S10_4698,Daedalus Designs Imports,Lille,,59000,France,Martine,Rance,Large
10188,45,100,8714.7,11/18/2003 0:00,Shipped,2003,Motorcycles,80,S10_4698,Herkku Gifts,Bergen,,N 5804,Norway,Veysel,Oeztan,Large
10201,49,100,8065.89,12-01-03 0:00,Shipped,2003,Motorcycles,80,S10_4698,Mini Wheels Co.,San Francisco,CA,,USA,Julie,Murphy,Large
10210,34,100,6123.4,01-12-04 0:00,Shipped,2004,Motorcycles,80,S10_4698,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan,Mory,Kentary,Medium
10223,49,100,9774.03,2/20/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Large
10237,39,100,7023.9,04-05-04 0:00,Shipped,2004,Motorcycles,80,S10_4698,Vitachrome Inc.,NYC,NY,10022,USA,Michael,Frick,Large
10251,43,100,7078.23,5/18/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,Tekni Collectables Inc.,Newark,NJ,94019,USA,William,Brown,Large
10263,41,100,8336.94,6/28/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,Gift Depot Inc.,Bridgewater,CT,97562,USA,Julie,King,Large
10275,36,100,6901.92,7/23/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,La Rochelle Gifts,Nantes,,44000,France,Janine,Labrune,Medium
10285,27,100,5438.07,8/27/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,Marta's Replicas Co.,Cambridge,MA,51247,USA,Marta,Hernandez,Medium
10299,29,100,6683.34,9/30/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,"Toys of Finland, Co.",Helsinki,,21240,Finland,Matti,Karttunen,Medium
10308,20,100,4570.4,10/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,Mini Classics,White Plains,NY,24067,USA,Steve,Frick,Medium
10318,37,100,7667.14,11-02-04 0:00,Shipped,2004,Motorcycles,80,S10_4698,Diecast Classics Inc.,Allentown,PA,70267,USA,Kyung,Yu,Large
10329,26,100,5868.2,11/15/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Medium
10339,39,76.67,2990.13,11/23/2004 0:00,Shipped,2004,Motorcycles,80,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan,Akiko,Shimamura,Small
10362,22,100,3664.1,01-05-05 0:00,Shipped,2005,Motorcycles,80,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Medium
10374,22,100,3834.38,02-02-05 0:00,Shipped,2005,Motorcycles,80,S10_4698,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia,Tony,Calaghan,Medium
10388,21,86.77,1822.17,03-03-05 0:00,Shipped,2005,Motorcycles,80,S10_4698,FunGiftIdeas.com,New Bedford,MA,50553,USA,Violeta,Benitez,Small
10403,66,100,11886.6,04-08-05 0:00,Shipped,2005,Motorcycles,80,S10_4698,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK,Elizabeth,Devon,Large
10417,56,100,9218.16,5/13/2005 0:00,Disputed,2005,Motorcycles,80,S10_4698,Euro Shopping Channel,Madrid,,28034,Spain,Diego,Freyre,Large
10105,50,100,7208,02-11-03 0:00,Shipped,2003,Classic Cars,80,S10_4757,Danish Wholesale Imports,Kobenhavn,,1734,Denmark,Jytte,Petersen,Large
10119,46,100,5004.8,4/28/2003 0:00,Shipped,2003,Classic Cars,80,S10_4757,Salzburg Collectables,Salzburg,,5020,Austria,Georg,Pipps,Medium
10129,33,100,4398.24,06-12-03 0:00,Shipped,2003,Classic Cars,80,S10_4757,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK,Ann,Brown,Medium
10143,49,100,5597.76,08-10-03 0:00,Shipped,2003,Classic Cars,80,S10_4757,Mini Creations Ltd.,New Bedford,MA,50553,USA,Wing C,Tam,Medium
10155,32,100,4526.08,10-06-03 0:00,Shipped,2003,Classic Cars,80,S10_4757,"Toys of Finland, Co.",Helsinki,,21240,Finland,Matti,Karttunen,Medium
10167,44,100,5924.16,10/23/2003 0:00,Cancelled,2003,Classic Cars,80,S10_4757,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,Maria,Larsson,Medium
10178,24,100,3492.48,11-08-03 0:00,Shipped,2003,Classic Cars,80,S10_4757,Alpha Cognac,Toulouse,,31000,France,Annette,Roulet,Medium
10186,26,100,3854.24,11/14/2003 0:00,Shipped,2003,Classic Cars,80,S10_4757,"Double Decker Gift Stores, Ltd",London,,WA1 1DP,UK,Thomas,Hardy,Medium
10197,45,100,5324.4,11/26/2003 0:00,Shipped,2003,Classic Cars,80,S10_4757,Enaco Distributors,Barcelona,,8022,Spain,Eduardo,Saavedra,Medium
10209,39,100,5197.92,01-09-04 0:00,Shipped,2004,Classic Cars,80,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,,USA,Michael,Chandler,Medium
10222,49,100,5997.6,2/19/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,Collectable Mini Designs Co.,San Diego,CA,91217,USA,Valarie,Thompson,Medium
10248,20,100,2910.4,05-07-04 0:00,Cancelled,2004,Classic Cars,80,S10_4757,Land of Toys Inc.,NYC,NY,10022,USA,Kwai,Yu,Small
10261,27,100,3378.24,6/17/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada,Jean,Fresnisre,Medium
10273,30,100,3508.8,7/21/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,Petit Auto,Bruxelles,,B-1180,Belgium,Catherine,Dewey,Medium
10283,25,100,2992,8/20/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada,Elizabeth,Lincoln,Small
10295,24,100,3427.2,09-10-04 0:00,Shipped,2004,Classic Cars,80,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,Juri,Yoshido,Medium
10307,22,100,2692.8,10/14/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA,Francisca,Cervantes,Small
10316,33,100,4128.96,11-01-04 0:00,Shipped,2004,Classic Cars,80,S10_4757,giftsbymail.co.uk,Cowes,Isle of Wight,PO31 7PJ,UK,Helen,Bennett,Medium
10325,47,64.93,3051.71,11-05-04 0:00,Shipped,2004,Classic Cars,80,S10_4757,Baane Mini Imports,Stavern,,4110,Norway,Jonas,Bergulfsen,Medium
10337,25,48.05,1201.25,11/21/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,Classic Legends Inc.,NYC,NY,10022,USA,Maria,Hernandez,Small
10350,26,75.47,1962.22,12-02-04 0:00,Shipped,2004,Classic Cars,80,S10_4757,Euro Shopping Channel,Madrid,,28034,Spain,Diego,Freyre,Small
10359,48,54.68,2624.64,12/15/2004 0:00,Shipped,2004,Classic Cars,80,S10_4757,Reims Collectables,Reims,,51100,France,Paul,Henriot,Small
10373,39,100,4046.25,1/31/2005 0:00,Shipped,2005,Classic Cars,80,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland,Pirkko,Koskitalo,Medium
10384,34,100,4846.7,2/23/2005 0:00,Shipped,2005,Classic Cars,80,S10_4757,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Medium
10395,32,100,3370.56,3/17/2005 0:00,Shipped,2005,Classic Cars,80,S10_4757,Lyon Souveniers,Paris,,75508,France,Daniel,Da Cunha,Medium
10400,64,100,9661.44,04-01-05 0:00,Shipped,2005,Classic Cars,80,S10_4757,The Sharp Gifts Warehouse,San Jose,CA,94217,USA,Sue,Frick,Large
10414,19,100,2764.88,05-06-05 0:00,On Hold,2005,Classic Cars,80,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,Juri,Yoshido,Small
10103,42,100,5398.26,1/29/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,Baane Mini Imports,Stavern,,4110,Norway,Jonas,Bergulfsen,Medium
10114,31,100,4305.28,04-01-03 0:00,Shipped,2003,Classic Cars,80,S10_4962,"La Corne D'abondance, Co.",Paris,,75012,France,Marie,Bertrand,Medium
10126,22,100,3347.74,5/28/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain,Mart�n,Sommer,Medium
10140,26,100,3188.12,7/24/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,Technics Stores Inc.,Burlingame,CA,94217,USA,Juri,Hirano,Medium
10150,20,100,3191.2,9/19/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore,Eric,Natividad,Medium
10164,21,100,3536.82,10/21/2003 0:00,Resolved,2003,Classic Cars,80,S10_4962,Mini Auto Werke,Graz,,8010,Austria,Roland,Mendel,Medium
10175,33,100,5362.83,11-06-03 0:00,Shipped,2003,Classic Cars,80,S10_4962,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK,Ann,Brown,Medium
10183,28,100,3433.36,11/13/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA,Francisca,Cervantes,Medium
10194,26,100,4263.74,11/25/2003 0:00,Shipped,2003,Classic Cars,80,S10_4962,"Saveley & Henriot, Co.",Lyon,,69004,France,Mary,Saveley,Medium
10207,31,100,4076.19,12-09-03 0:00,Shipped,2003,Classic Cars,80,S10_4962,Diecast Collectables,Boston,MA,51003,USA,Valarie,Franco,Medium
10217,48,100,7020.48,02-04-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Handji Gifts& Co,Singapore,,69045,Singapore,Wendy,Victorino,Large
10229,50,100,6426.5,03-11-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Valarie,Nelson,Medium
10245,28,100,4591.72,05-04-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Super Scale Inc.,New Haven,CT,97823,USA,Leslie,Murphy,Medium
10259,26,100,4033.38,6/15/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,Handji Gifts& Co,Singapore,,69045,Singapore,Wendy,Victorino,Medium
10270,32,100,4302.08,7/19/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,Adrian,Huxley,Medium
10281,44,100,7020.64,8/19/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,Diecast Classics Inc.,Allentown,PA,70267,USA,Kyung,Yu,Large
10291,30,100,3855.9,09-08-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,Maria,Larsson,Medium
10305,38,100,6680.78,10/13/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,Marta's Replicas Co.,Cambridge,MA,51247,USA,Marta,Hernandez,Medium
10313,40,100,6678,10/22/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada,Yoshi,Tannamuri,Medium
10322,46,61.99,2851.54,11-04-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Online Diecast Creations Co.,Nashua,NH,62005,USA,Valarie,Young,Small
10334,26,100,3188.12,11/19/2004 0:00,On Hold,2004,Classic Cars,80,S10_4962,"Volvo Model Replicas, Co",Lule,,S-958 22,Sweden,Christina,Berglund,Medium
10347,27,100,4428,11/29/2004 0:00,Shipped,2004,Classic Cars,80,S10_4962,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,Peter,Ferguson,Medium
10357,43,100,5780.92,12-10-04 0:00,Shipped,2004,Classic Cars,80,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Valarie,Nelson,Medium
10370,35,65.63,2297.05,1/20/2005 0:00,Shipped,2005,Classic Cars,80,S10_4962,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia,Anna,O'Hara,Small
10381,37,100,6231.54,2/17/2005 0:00,Shipped,2005,Classic Cars,80,S10_4962,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Julie,Brown,Medium
10391,37,46.9,1735.3,03-09-05 0:00,Shipped,2005,Classic Cars,80,S10_4962,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia,Anna,O'Hara,Small
